name,size,taskid,stage,activeView,updateId,parallel,view,count,time
airlines,1000000000,0,load,none,-1,true,false,1,58258.941625
airlines,1000000000,1,init,none,-1,true,false,4,28653.463667000004
airlines,1000000000,2,create,Depart By slider,-1,true,false,2,30548.458583
airlines,1000000000,3,update,Depart By slider,0,true,false,2,5.859083000003011
airlines,1000000000,4,update,Depart By slider,1,true,false,2,2.3377500000060536
airlines,1000000000,5,update,Depart By slider,2,true,false,2,1.9605409999930998
airlines,1000000000,6,update,Depart By slider,3,true,false,2,1.7021670000103768
airlines,1000000000,7,update,Depart By slider,4,true,false,2,1.623042000006535
airlines,1000000000,8,update,Depart By slider,5,true,false,2,1.5360409999993863
airlines,1000000000,9,update,Depart By slider,6,true,false,2,3.4126669999968726
airlines,1000000000,10,update,Depart By slider,7,true,false,2,1.4483329999929992
airlines,1000000000,11,update,Depart By slider,8,true,false,2,1.4012499999953434
airlines,1000000000,12,update,Depart By slider,9,true,false,2,1.3155829999886919
airlines,1000000000,13,update,Depart By slider,10,true,false,2,1.689541999992798
airlines,1000000000,14,update,Depart By slider,11,true,false,2,1.5151670000050217
airlines,1000000000,15,update,Depart By slider,12,true,false,2,1.66470800001116
airlines,1000000000,16,update,Depart By slider,13,true,false,2,1.6383330000098795
airlines,1000000000,17,update,Depart By slider,14,true,false,2,1.6095409999979893
airlines,1000000000,18,update,Depart By slider,15,true,false,2,1.4366250000020955
airlines,1000000000,19,update,Depart By slider,16,true,false,2,2.1227080000098795
airlines,1000000000,20,update,Depart By slider,17,true,false,2,1.2033340000052704
airlines,1000000000,21,update,Depart By slider,18,true,false,2,1.24854200000118
airlines,1000000000,22,update,Depart By slider,19,true,false,2,1.1793329999927664
airlines,1000000000,23,update,Depart By slider,20,true,false,2,1.7219159999949625
airlines,1000000000,24,update,Depart By slider,21,true,false,2,1.2462499999965075
airlines,1000000000,25,update,Depart By slider,22,true,false,2,1.3521250000048894
airlines,1000000000,26,update,Depart By slider,23,true,false,2,1.3962500000052387
airlines,1000000000,27,update,Depart By slider,24,true,false,2,1.307583000001614
airlines,1000000000,28,update,Depart By slider,25,true,false,2,1.863333999994211
airlines,1000000000,29,update,Depart By slider,26,true,false,2,1.376166000001831
airlines,1000000000,30,update,Depart By slider,27,true,false,2,1.3479170000064187
airlines,1000000000,31,update,Depart By slider,28,true,false,2,1.368332999991253
airlines,1000000000,32,update,Depart By slider,29,true,false,2,1.6015000000043074
airlines,1000000000,33,update,Depart By slider,30,true,false,2,1.5744590000103926
airlines,1000000000,34,update,Depart By slider,31,true,false,2,1.7470830000092974
airlines,1000000000,35,update,Depart By slider,32,true,false,2,2.0497919999907026
airlines,1000000000,36,update,Depart By slider,33,true,false,2,1.5893329999962589
airlines,1000000000,37,update,Depart By slider,34,true,false,2,1.6554579999938142
airlines,1000000000,38,update,Depart By slider,35,true,false,2,10.545958000002429
airlines,1000000000,39,update,Depart By slider,36,true,false,2,2.1252089999907184
airlines,1000000000,40,update,Depart By slider,37,true,false,2,1.9769170000072336
airlines,1000000000,41,update,Depart By slider,38,true,false,2,1.3204580000019632
airlines,1000000000,42,update,Depart By slider,39,true,false,2,1.4327499999926658
airlines,1000000000,43,update,Depart By slider,40,true,false,2,1.8645830000023125
airlines,1000000000,44,update,Depart By slider,41,true,false,2,1.314790999997058
airlines,1000000000,45,update,Depart By slider,42,true,false,2,2.284542000008514
airlines,1000000000,46,update,Depart By slider,43,true,false,2,1.413249999997788
airlines,1000000000,47,update,Depart By slider,44,true,false,2,1.516250000000582
airlines,1000000000,48,update,Depart By slider,45,true,false,2,1.4067079999949783
airlines,1000000000,49,update,Depart By slider,46,true,false,2,1.3567909999983385
airlines,1000000000,50,update,Depart By slider,47,true,false,2,1.774290999994264
airlines,1000000000,51,update,Depart By slider,48,true,false,2,1.2627920000086306
airlines,1000000000,52,update,Depart By slider,49,true,false,2,1.3500000000058208
airlines,1000000000,53,update,Depart By slider,50,true,false,2,2.3647080000082497
airlines,1000000000,54,update,Depart By slider,51,true,false,2,2.439417000001413
airlines,1000000000,55,update,Depart By slider,52,true,false,2,4.020415999999386
airlines,1000000000,56,update,Depart By slider,53,true,false,2,2.3383340000000317
airlines,1000000000,57,update,Depart By slider,54,true,false,2,2.4657920000026934
airlines,1000000000,58,update,Depart By slider,55,true,false,2,2.263249999989057
airlines,1000000000,59,update,Depart By slider,56,true,false,2,1.8819579999981215
airlines,1000000000,60,update,Depart By slider,57,true,false,2,1.794792000000598
airlines,1000000000,61,update,Depart By slider,58,true,false,2,2.2654579999943962
airlines,1000000000,62,update,Depart By slider,59,true,false,2,1.7812080000003334
airlines,1000000000,63,update,Depart By slider,60,true,false,2,1.4105839999974705
airlines,1000000000,64,update,Depart By slider,61,true,false,2,1.5148340000014286
airlines,1000000000,65,update,Depart By slider,62,true,false,2,1.576375000004191
airlines,1000000000,66,update,Depart By slider,63,true,false,2,1.984958999993978
airlines,1000000000,67,update,Depart By slider,64,true,false,2,1.4515419999952428
airlines,1000000000,68,update,Depart By slider,65,true,false,2,1.4708749999990687
airlines,1000000000,69,update,Depart By slider,66,true,false,2,1.3744999999908032
airlines,1000000000,70,update,Depart By slider,67,true,false,2,1.6157919999968726
airlines,1000000000,71,update,Depart By slider,68,true,false,2,1.988375000000815
airlines,1000000000,72,update,Depart By slider,69,true,false,2,1.7169159999903059
airlines,1000000000,73,update,Depart By slider,70,true,false,2,1.6235410000081174
airlines,1000000000,74,update,Depart By slider,71,true,false,2,1.880749999996624
airlines,1000000000,75,update,Depart By slider,72,true,false,2,1.6008750000037253
airlines,1000000000,76,update,Depart By slider,73,true,false,2,1.6391250000015134
airlines,1000000000,77,update,Depart By slider,74,true,false,2,1.8817089999938617
airlines,1000000000,78,update,Depart By slider,75,true,false,2,1.9025839999958407
airlines,1000000000,79,update,Depart By slider,76,true,false,2,1.5164999999979045
airlines,1000000000,80,update,Depart By slider,77,true,false,2,1.6655829999945126
airlines,1000000000,81,update,Depart By slider,78,true,false,2,1.5443749999976717
airlines,1000000000,82,update,Depart By slider,79,true,false,2,1.412292000008165
airlines,1000000000,83,update,Depart By slider,80,true,false,2,1.6774159999913536
airlines,1000000000,84,update,Depart By slider,81,true,false,2,2.7301670000015292
airlines,1000000000,85,update,Depart By slider,82,true,false,2,1.4161670000030426
airlines,1000000000,86,update,Depart By slider,83,true,false,2,1.3906669999996666
airlines,1000000000,87,update,Depart By slider,84,true,false,2,1.3463750000082655
airlines,1000000000,88,update,Depart By slider,85,true,false,2,1.2181669999990845
airlines,1000000000,89,update,Depart By slider,86,true,false,2,1.4231250000011642
airlines,1000000000,90,update,Depart By slider,87,true,false,2,1.352375000002212
