name,size,taskid,stage,activeView,updateId,parallel,view,count,time
airlines,1000000,0,load,none,-1,true,false,1,187.87191699999994
airlines,1000000,1,init,none,-1,true,false,4,9.876415999999836
airlines,1000000,2,create,Depart By slider,-1,true,false,2,11.358416000000034
airlines,1000000,3,update,Depart By slider,0,true,false,2,1.515041999999994
airlines,1000000,4,update,Depart By slider,1,true,false,2,1.668999999999869
airlines,1000000,5,update,Depart By slider,2,true,false,2,1.4833750000000236
airlines,1000000,6,update,Depart By slider,3,true,false,2,1.828708000000006
airlines,1000000,7,update,Depart By slider,4,true,false,2,8.861499999999978
airlines,1000000,8,update,Depart By slider,5,true,false,2,1.5630840000001172
airlines,1000000,9,update,Depart By slider,6,true,false,2,1.8138750000000528
airlines,1000000,10,update,Depart By slider,7,true,false,2,1.7342080000000806
airlines,1000000,11,update,Depart By slider,8,true,false,2,1.596749999999929
airlines,1000000,12,update,Depart By slider,9,true,false,2,1.3616249999997763
airlines,1000000,13,update,Depart By slider,10,true,false,2,1.387625000000071
airlines,1000000,14,update,Depart By slider,11,true,false,2,1.3097080000000005
airlines,1000000,15,update,Depart By slider,12,true,false,2,1.4211660000000848
airlines,1000000,16,update,Depart By slider,13,true,false,2,1.447499999999991
airlines,1000000,17,update,Depart By slider,14,true,false,2,1.4206249999999727
airlines,1000000,18,update,Depart By slider,15,true,false,2,1.3491670000000795
airlines,1000000,19,update,Depart By slider,16,true,false,2,1.4015420000000631
airlines,1000000,20,update,Depart By slider,17,true,false,2,1.4178340000000844
airlines,1000000,21,update,Depart By slider,18,true,false,2,1.3535420000000613
airlines,1000000,22,update,Depart By slider,19,true,false,2,1.3304579999999078
airlines,1000000,23,update,Depart By slider,20,true,false,2,1.4352089999999862
airlines,1000000,24,update,Depart By slider,21,true,false,2,1.5007499999999254
airlines,1000000,25,update,Depart By slider,22,true,false,2,1.5507090000000971
airlines,1000000,26,update,Depart By slider,23,true,false,2,1.4294580000000678
airlines,1000000,27,update,Depart By slider,24,true,false,2,1.4983330000000024
airlines,1000000,28,update,Depart By slider,25,true,false,2,1.5516250000000582
airlines,1000000,29,update,Depart By slider,26,true,false,2,1.4296249999999873
airlines,1000000,30,update,Depart By slider,27,true,false,2,1.2787080000000515
airlines,1000000,31,update,Depart By slider,28,true,false,2,1.491207999999915
airlines,1000000,32,update,Depart By slider,29,true,false,2,1.4120000000000346
airlines,1000000,33,update,Depart By slider,30,true,false,2,1.500915999999961
airlines,1000000,34,update,Depart By slider,31,true,false,2,1.2700420000001031
airlines,1000000,35,update,Depart By slider,32,true,false,2,1.32162500000004
airlines,1000000,36,update,Depart By slider,33,true,false,2,1.405666999999994
airlines,1000000,37,update,Depart By slider,34,true,false,2,1.4546250000000782
airlines,1000000,38,update,Depart By slider,35,true,false,2,1.4722090000000208
airlines,1000000,39,update,Depart By slider,36,true,false,2,1.3974170000001322
airlines,1000000,40,update,Depart By slider,37,true,false,2,1.4122499999998581
airlines,1000000,41,update,Depart By slider,38,true,false,2,1.29362500000002
airlines,1000000,42,update,Depart By slider,39,true,false,2,1.5673329999999623
airlines,1000000,43,update,Depart By slider,40,true,false,2,1.6033749999999145
airlines,1000000,44,update,Depart By slider,41,true,false,2,1.4420410000000174
airlines,1000000,45,update,Depart By slider,42,true,false,2,1.4053329999999278
airlines,1000000,46,update,Depart By slider,43,true,false,2,1.2489579999999023
airlines,1000000,47,update,Depart By slider,44,true,false,2,1.2676249999999527
airlines,1000000,48,update,Depart By slider,45,true,false,2,1.4893750000001091
airlines,1000000,49,update,Depart By slider,46,true,false,2,1.286292000000003
airlines,1000000,50,update,Depart By slider,47,true,false,2,1.5341659999999138
airlines,1000000,51,update,Depart By slider,48,true,false,2,1.462458000000197
airlines,1000000,52,update,Depart By slider,49,true,false,2,1.3349590000000262
airlines,1000000,53,update,Depart By slider,50,true,false,2,1.303957999999966
airlines,1000000,54,update,Depart By slider,51,true,false,2,1.3403339999999844
airlines,1000000,55,update,Depart By slider,52,true,false,2,1.378582999999935
airlines,1000000,56,update,Depart By slider,53,true,false,2,1.3492919999998776
airlines,1000000,57,update,Depart By slider,54,true,false,2,1.4322919999999613
airlines,1000000,58,update,Depart By slider,55,true,false,2,1.2824590000000171
airlines,1000000,59,update,Depart By slider,56,true,false,2,1.4897499999999582
airlines,1000000,60,update,Depart By slider,57,true,false,2,1.3380419999998594
airlines,1000000,61,update,Depart By slider,58,true,false,2,1.457834000000048
airlines,1000000,62,update,Depart By slider,59,true,false,2,1.4431660000000193
airlines,1000000,63,update,Depart By slider,60,true,false,2,1.3055419999998321
