name,size,taskid,stage,activeView,updateId,parallel,view,count,time
airlines,100000000,0,load,none,-1,true,false,1,9055.514500000001
airlines,100000000,1,init,none,-1,true,false,4,6799.455167
airlines,100000000,2,create,Depart By slider,-1,true,false,2,8060.001708
airlines,100000000,3,update,Depart By slider,0,true,false,2,3.8810409999969124
airlines,100000000,4,update,Depart By slider,1,true,false,2,3.5944589999999152
airlines,100000000,5,update,Depart By slider,2,true,false,2,1.9004170000007434
airlines,100000000,6,update,Depart By slider,3,true,false,2,1.708958999999595
airlines,100000000,7,update,Depart By slider,4,true,false,2,1.829249999998865
airlines,100000000,8,update,Depart By slider,5,true,false,2,1.9232909999991534
airlines,100000000,9,update,Depart By slider,6,true,false,2,2.0681250000016007
airlines,100000000,10,update,Depart By slider,7,true,false,2,1.7011249999995925
airlines,100000000,11,update,Depart By slider,8,true,false,2,1.5705419999976584
airlines,100000000,12,update,Depart By slider,9,true,false,2,1.5684579999979178
airlines,100000000,13,update,Depart By slider,10,true,false,2,1.5550830000029237
airlines,100000000,14,update,Depart By slider,11,true,false,2,1.6332919999986188
airlines,100000000,15,update,Depart By slider,12,true,false,2,10.054041999999754
airlines,100000000,16,update,Depart By slider,13,true,false,2,1.5036250000011933
airlines,100000000,17,update,Depart By slider,14,true,false,2,1.5037499999998545
airlines,100000000,18,update,Depart By slider,15,true,false,2,1.480082999998558
airlines,100000000,19,update,Depart By slider,16,true,false,2,1.3902079999970738
airlines,100000000,20,update,Depart By slider,17,true,false,2,1.4684589999997115
airlines,100000000,21,update,Depart By slider,18,true,false,2,1.422500000000582
airlines,100000000,22,update,Depart By slider,19,true,false,2,1.493625000002794
airlines,100000000,23,update,Depart By slider,20,true,false,2,1.6462090000022727
airlines,100000000,24,update,Depart By slider,21,true,false,2,1.5812909999986005
airlines,100000000,25,update,Depart By slider,22,true,false,2,1.6997909999990952
airlines,100000000,26,update,Depart By slider,23,true,false,2,1.5026249999973516
airlines,100000000,27,update,Depart By slider,24,true,false,2,1.5927909999991243
airlines,100000000,28,update,Depart By slider,25,true,false,2,1.591415999999299
airlines,100000000,29,update,Depart By slider,26,true,false,2,1.491667000002053
airlines,100000000,30,update,Depart By slider,27,true,false,2,1.4106250000004366
airlines,100000000,31,update,Depart By slider,28,true,false,2,1.4240840000020398
airlines,100000000,32,update,Depart By slider,29,true,false,2,1.8481250000004366
airlines,100000000,33,update,Depart By slider,30,true,false,2,1.413790999999037
airlines,100000000,34,update,Depart By slider,31,true,false,2,1.36162499999773
airlines,100000000,35,update,Depart By slider,32,true,false,2,1.3312079999996058
airlines,100000000,36,update,Depart By slider,33,true,false,2,1.4065000000009604
airlines,100000000,37,update,Depart By slider,34,true,false,2,1.2827500000021246
airlines,100000000,38,update,Depart By slider,35,true,false,2,1.2629170000000158
airlines,100000000,39,update,Depart By slider,36,true,false,2,1.2614170000015292
airlines,100000000,40,update,Depart By slider,37,true,false,2,1.2667919999985315
airlines,100000000,41,update,Depart By slider,38,true,false,2,1.3036660000034317
airlines,100000000,42,update,Depart By slider,39,true,false,2,1.4102920000004815
airlines,100000000,43,update,Depart By slider,40,true,false,2,1.8195840000007593
airlines,100000000,44,update,Depart By slider,41,true,false,2,1.8745410000010452
airlines,100000000,45,update,Depart By slider,42,true,false,2,1.5144160000018019
airlines,100000000,46,update,Depart By slider,43,true,false,2,1.8422500000015134
airlines,100000000,47,update,Depart By slider,44,true,false,2,1.4408750000002328
airlines,100000000,48,update,Depart By slider,45,true,false,2,1.5207090000003518
airlines,100000000,49,update,Depart By slider,46,true,false,2,1.7402079999992566
airlines,100000000,50,update,Depart By slider,47,true,false,2,1.5354579999984708
airlines,100000000,51,update,Depart By slider,48,true,false,2,1.5587909999994736
airlines,100000000,52,update,Depart By slider,49,true,false,2,1.4613749999989523
airlines,100000000,53,update,Depart By slider,50,true,false,2,1.3809999999975844
airlines,100000000,54,update,Depart By slider,51,true,false,2,1.4731250000004366
airlines,100000000,55,update,Depart By slider,52,true,false,2,1.3968329999988782
airlines,100000000,56,update,Depart By slider,53,true,false,2,1.3657919999968726
airlines,100000000,57,update,Depart By slider,54,true,false,2,1.392041999999492
airlines,100000000,58,update,Depart By slider,55,true,false,2,1.5586670000011509
airlines,100000000,59,update,Depart By slider,56,true,false,2,1.3744169999990845
airlines,100000000,60,update,Depart By slider,57,true,false,2,1.3517499999979918
airlines,100000000,61,update,Depart By slider,58,true,false,2,1.3577499999992142
airlines,100000000,62,update,Depart By slider,59,true,false,2,1.5919170000015583
airlines,100000000,63,update,Depart By slider,60,true,false,2,1.3540830000019923
airlines,100000000,64,update,Depart By slider,61,true,false,2,1.3049160000009579
airlines,100000000,65,update,Depart By slider,62,true,false,2,1.658332999999402
airlines,100000000,66,update,Depart By slider,63,true,false,2,1.4138749999983702
airlines,100000000,67,update,Depart By slider,64,true,false,2,1.3175000000010186
airlines,100000000,68,update,Depart By slider,65,true,false,2,1.2695000000021537
airlines,100000000,69,update,Depart By slider,66,true,false,2,1.3052499999976135
airlines,100000000,70,update,Depart By slider,67,true,false,2,1.2787499999976717
airlines,100000000,71,update,Depart By slider,68,true,false,2,1.3050830000029237
airlines,100000000,72,update,Depart By slider,69,true,false,2,2.183959000001778
airlines,100000000,73,update,Depart By slider,70,true,false,2,1.6258339999985765
airlines,100000000,74,update,Depart By slider,71,true,false,2,1.2759170000026643
airlines,100000000,75,update,Depart By slider,72,true,false,2,1.2648750000007567
